id,canonical_key,family,domain,order,domain_size,generator_images,target_phase_order,reduced_phase_order,phase_rotation_order,image_order,kernel_elements,kernel_order,graph_nonproduct,extension_type,time_reversing,frame_divisor,tags,realized_in_moduli,translation_d4_orbit_key,quotient_projection_split,product_lattice_cover_split
dihedral-d3-dfb9a405362b,dihedral|D3|3|r=shift:0/1;s=shift:1/2,dihedral,D3,3,6,r=shift:0/1;s=shift:1/2,2,2,2,2,1;r;r^2,3,true,split_semidirect,false,2,d3;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;phase_shifting;split_semidirect,2;4;6;8;10;12,,,
dihedral-d3-bf30fa6feb61,dihedral|D3|3|r=shift:1/3;s=rev:0/1,dihedral,D3,3,6,r=shift:1/3;s=rev:0/1,3,3,3,6,1,1,true,trivial,true,3,d3;dihedral;dihedral_choreography;graph_nonproduct;image_order_6;time_reversing;trivial,3;6;9;12,,,
dihedral-d3-ce927582182b,dihedral|D3|3|r=shift:1/3;s=rev:1/12,dihedral,D3,3,6,r=shift:1/3;s=rev:1/12,12,12,3,6,1,1,true,trivial,true,12,d3;dihedral;dihedral_choreography;graph_nonproduct;image_order_6;time_reversing;trivial,12,,,
dihedral-d3-e7a84656f688,dihedral|D3|3|r=shift:1/3;s=rev:1/6,dihedral,D3,3,6,r=shift:1/3;s=rev:1/6,6,6,3,6,1,1,true,trivial,true,6,d3;dihedral;dihedral_choreography;graph_nonproduct;image_order_6;time_reversing;trivial,6,,,
dihedral-d4-139e3e086463,dihedral|D4|4|r=rev:0/1;s=rev:0/1,dihedral,D4,4,8,r=rev:0/1;s=rev:0/1,2,1,1,2,1;r^2;r s;r^3 s,4,true,split_semidirect,true,1,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,2;3;4;5;6;7;8;9;10;11;12,,,
dihedral-d4-d1b47c07672b,dihedral|D4|4|r=rev:0/1;s=rev:1/2,dihedral,D4,4,8,r=rev:0/1;s=rev:1/2,2,2,2,4,1;r^2,2,true,non_split,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,2;4;6;8;10;12,,,
dihedral-d4-979f51a11dac,dihedral|D4|4|r=rev:0/1;s=shift:0/1,dihedral,D4,4,8,r=rev:0/1;s=shift:0/1,2,1,1,2,1;r^2;s;r^2 s,4,true,split_semidirect,true,1,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,2;3;4;5;6;7;8;9;10;11;12,,,
dihedral-d4-1b9443d53d52,dihedral|D4|4|r=rev:0/1;s=shift:1/2,dihedral,D4,4,8,r=rev:0/1;s=shift:1/2,2,2,2,4,1;r^2,2,true,non_split,true,2,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,2;4;6;8;10;12,,,
dihedral-d4-e05b910eec0c,dihedral|D4|4|r=rev:1/10;s=rev:1/10,dihedral,D4,4,8,r=rev:1/10;s=rev:1/10,10,10,1,2,1;r^2;r s;r^3 s,4,true,split_semidirect,true,10,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_2;split_semidirect;time_reversing,10,,,
dihedral-d4-d0e94a5d681f,dihedral|D4|4|r=rev:1/10;s=rev:3/5,dihedral,D4,4,8,r=rev:1/10;s=rev:3/5,10,10,2,4,1;r^2,2,true,non_split,true,10,d4;dihedral;dihedral_choreography;graph_nonproduct;image_order_4;non_split;time_reversing,10,,,
